market_acceptance,stability_of_demand,trend_of_demand,potential_market,label,product_idea
40.42,20.00,12.08,30,1,spaghetti sauce
40.28,136.67,12.33,186,1,conditioner
40.87,-80.00,11.67,40,0,meal toy
40.13,-80.00,12.17,23,0,macaroni soup
40.24,-30.00,12.08,40,0,fish and chip
40.00,20.00,12.00,20,1,sandwich smoothie
40.30,-26.12,72.00,26826,0,screen
40.00,20.00,12.00,20,1,dress accessory
40.96,-80.00,11.92,20,0,beauty gadget
40.31,20.00,12.00,24,1,basketball shoe
40.00,20.00,12.00,20,1,cajun sauce
40.50,20.00,12.00,21,1,jjamppong
40.56,-80.00,11.92,22,0,scrub suit
40.29,70.00,12.50,52,1,tortilla
40.34,-17.50,10.92,99,0,eggplant
40.24,45.00,11.92,52,1,squash
40.00,20.00,12.00,20,1,joggger pair
40.00,20.00,12.00,20,1,t shirt underwear
40.14,-46.67,12.00,44,0,pansit canton
40.00,20.00,12.00,20,1,juicer blender
40.00,20.00,12.00,20,1,vegtable juice
40.24,-30.00,11.58,38,0,fruit juice
40.22,15.00,12.00,20,1,herbal juice
40.28,-80.00,11.83,22,0,jumpsuit
40.64,-80.00,11.67,27,0,bread roll
40.42,15.00,12.08,22,1,kiddie meal
40.26,320.00,12.58,105,1,treadmill
40.44,-80.00,11.83,22,0,cuban chain
40.00,20.00,12.00,20,1,seafood rice
40.77,15.00,12.00,22,1,tomato toner
40.00,20.00,12.00,20,1,jackfruit coconut milk
40.00,20.00,12.00,20,1,thai noodle rice
39.95,15.00,12.17,148,1,body scrub
40.50,-80.00,11.92,29,0,candy corn
40.56,-30.00,11.83,24,0,console game
40.00,20.00,12.00,20,1,ginger lemonade
39.66,-80.00,11.92,20,0,apple diet
40.00,20.00,12.00,20,1,sweet rice bread
40.00,20.00,12.00,20,1,jewellery watch
40.26,-48.42,3.33,971,0,seafood
40.37,-80.00,13.00,74,0,toothbrush
40.15,-80.00,12.67,40,0,puto bumbong
40.12,20.00,12.17,21,1,tooth brush
40.00,20.00,12.00,20,1,toothpaste squizer
40.00,20.00,12.00,20,1,deep base soundbar wireless subwoofer
40.13,-80.00,11.67,31,0,jelly bean
40.00,20.00,12.00,20,1,java chip frapuccino with baked almond
40.46,20.00,12.17,23,1,jaw breaker
39.93,-80.00,12.08,20,0,jersey shirt
40.67,15.00,12.00,20,1,coconut husk
40.53,53.33,13.75,197,1,hand sanitizer
40.00,20.00,12.00,20,1,coconut shell soap candle handler
40.00,20.00,12.00,20,1,dry coconut pulp
40.67,15.00,12.00,20,1,coconut husk fiber
40.00,20.00,12.00,20,1,cocktail chip salsa
40.40,-80.00,11.92,20,0,cocoa butter kiss
40.75,-80.00,11.83,21,0,coconut grater
40.00,20.00,12.00,20,1,coconut drink
40.00,20.00,12.00,20,1,coconut bowl
40.92,-80.00,11.92,20,0,coconut barfi
40.00,20.00,12.00,20,1,cococandie
40.00,20.00,12.00,20,1,cocoa poweder
40.00,20.00,12.00,20,1,choco cookie
40.00,20.00,12.00,20,1,sandwich salad
40.23,53.33,11.58,103,1,black coffee
40.00,20.00,12.00,20,1,coffee cinnamon cake strawberry cheesecake
40.00,20.00,12.00,20,1,coffee chocolate cupcake
40.00,20.00,12.00,20,1,coffee choco malt
40.00,20.00,12.00,20,1,coffee crumble chocolate
40.00,20.00,12.00,20,1,thai tea chocolate drink
40.00,20.00,12.00,20,1,black coffee coffee creamer
40.00,20.00,12.00,20,1,coffee crumble that is cream
40.00,20.00,12.00,20,1,that is coffee cake
40.00,20.00,12.00,20,1,coffee cake candy
40.00,20.00,12.00,20,1,coffee tomato meatball egg crepe cappucino
40.45,-60.00,11.67,33,0,milk chocolate
39.89,20.00,12.08,20,1,cofffee
40.00,20.00,12.00,20,1,strawberry cheescake
40.00,20.00,12.00,20,1,chalk board eraser
40.07,-72.31,11.25,57,0,comic book
40.00,20.00,12.00,20,1,coffee cheese
40.00,20.00,12.00,20,1,kimchi rice chorizo
40.49,-80.00,11.92,20,0,liquid lipstick
39.24,-80.00,11.92,21,0,kimono coat
40.38,-42.50,11.58,77,0,kimono
40.22,53.33,11.92,41,1,kimchi rice
40.00,20.00,12.00,20,1,coconut sugar stevia leave
40.42,20.00,12.00,47,1,cocopeat
40.00,20.00,12.00,20,1,garlic coriander sauce
40.00,20.00,12.00,20,1,chiffon spongecake
40.00,20.00,12.00,20,1,coffee bean tea leaf
40.00,-80.00,11.83,22,0,graham float
40.17,-65.71,11.58,27,0,kimbap
40.26,-20.00,12.25,87,0,coffee bean
40.00,20.00,12.00,20,1,coffee milk
40.00,20.00,12.00,20,1,coffee burger
40.00,20.00,12.00,20,1,chip sauce
40.00,20.00,12.00,20,1,black coffee grill cheese mayo
40.00,20.00,12.00,20,1,kitty ball
40.36,-80.00,11.92,20,0,computer chair
40.00,20.00,12.00,20,1,bubble wrap yoga mat
40.00,20.00,12.00,20,1,samgyupsal donut
40.09,31.11,11.92,87,1,gundam
40.00,-80.00,11.83,22,0,kitten milk
40.00,-80.00,11.92,21,0,truffle mushroom pasta
40.00,20.00,12.00,20,1,kiwi banana
40.00,20.00,12.00,20,1,samgyupsal grill set
40.57,-80.00,11.83,20,0,pullman bread
40.00,20.00,12.00,20,1,clay face mask
40.24,47.27,12.00,224,1,clay
40.00,20.00,12.00,20,1,facial wipe
40.88,-80.00,11.83,23,0,stressball
40.00,20.00,12.00,20,1,hang rack
40.49,-80.00,11.92,20,0,colored facemask
40.00,-80.00,11.83,21,0,journal pad
40.94,-80.00,11.42,48,0,kangkong chip
40.00,20.00,12.00,20,1,liempo saute kangkong fry tofu
40.00,20.00,12.00,20,1,mustard ketchup
40.00,20.00,12.00,20,1,tuna pie hotdog roll pineapple juice
40.00,20.00,12.00,20,1,ihaw milktea
40.00,20.00,12.00,20,1,coffee cassava cake
40.34,-61.25,11.00,67,0,scallop
40.35,220.00,11.92,26,1,katsu curry
40.27,-30.00,11.50,59,0,katsudon
40.00,20.00,12.00,20,1,katsudon raman
40.31,20.00,12.08,21,1,yogurt cake
40.43,-30.00,11.75,42,0,pork adobo
39.68,-30.00,11.83,23,0,tocilog
40.00,20.00,12.00,20,1,beef sinigang
40.11,53.33,11.75,35,1,instant coffee
40.00,20.00,12.00,20,1,coffee sisig
40.00,20.00,12.00,20,1,kendama
40.00,20.00,12.00,20,1,thai iced cooffee vanilla that is cream
40.00,20.00,12.00,20,1,coffee cheese pandesal
40.00,20.00,12.00,20,1,coffee red velvet cake
40.00,20.00,12.00,20,1,coffee toast mamon
40.00,20.00,12.00,20,1,coffee pandesal
40.00,20.00,12.00,20,1,coffee espresso
40.00,20.00,12.00,20,1,coffee coffee jelly
40.00,20.00,12.00,20,1,coffee milktea
40.43,70.00,11.50,140,1,sardine
40.00,20.00,12.00,20,1,coffee kimchi rice
40.00,20.00,12.00,20,1,ground coffee sugar cream
40.33,-68.46,-4.92,1174,0,mobile phone
40.00,20.00,12.00,20,1,coffee raman
40.13,-63.33,11.75,47,0,coffeee
40.00,20.00,12.00,20,1,coffee namjoon
40.00,20.00,12.00,20,1,coffee mushroom
40.12,45.00,13.00,146,1,collar
40.00,20.00,12.00,20,1,sausage curry
40.00,20.00,12.00,20,1,kebab biryani
40.00,20.00,12.00,20,1,coke yakult chuckie milktea taho coffee
40.00,20.00,12.00,20,1,coke coffee chocolate
40.38,20.00,11.92,41,1,clay mask
40.00,20.00,12.00,20,1,coffee corn
40.00,20.00,12.00,20,1,coffee cinnamon bun
40.28,20.00,12.00,22,1,baby food
40.00,20.00,12.00,20,1,shampoo conditioner
40.00,20.00,12.00,20,1,action figurine
40.00,20.00,12.00,20,1,stuff bear
40.00,20.00,12.00,20,1,cucumber mayonnaise
40.00,20.00,12.00,20,1,vanilla that is cream chocolate mint that is cream
40.62,-80.00,11.58,25,0,cream milk
40.00,20.00,12.00,20,1,that is cream chocolate
40.00,20.00,12.00,20,1,that is cream chocolate
40.00,20.00,12.00,20,1,that is cream candy
40.00,20.00,12.00,20,1,shawarma burritos
40.00,20.00,12.00,20,1,takoyaki lasagna
40.00,20.00,12.00,20,1,sinanglaw pinapaitan
40.56,-13.33,11.92,453,0,dalandan
40.00,20.00,12.00,20,1,spaghetti chicken
40.00,20.00,12.00,20,1,crayon brush
40.00,20.00,12.00,20,1,donut chicken wing burger
40.00,20.00,12.00,20,1,tocino longganisa
40.00,20.00,12.00,20,1,coke sundae
40.40,-80.00,11.75,39,0,meatball
40.65,20.00,12.17,22,1,facial mask
39.56,-80.00,11.92,20,0,crema de leche
40.00,20.00,12.00,20,1,bacon pandesal
40.00,20.00,12.00,20,1,tea fish and chip
40.00,20.00,12.00,20,1,pretzel cream cheese
40.00,20.00,12.00,20,1,milk dark chocolate moist cake
40.00,20.00,12.00,20,1,fry rice beef
40.28,-25.45,11.25,47,0,shortcake
40.00,20.00,12.00,20,1,synthetic oil
40.00,20.00,12.00,20,1,cupcake chicken curry pork adobo
40.00,20.00,12.00,20,1,shawarma rice neon ball
40.00,20.00,12.00,20,1,shawarma rice milktea
40.00,20.00,12.00,20,1,rice egg
40.00,20.00,12.00,20,1,jewellry
40.00,20.00,12.00,20,1,chest pillow
40.00,-80.00,11.92,21,0,baby milk
40.79,-80.00,11.92,20,0,pizza box
40.00,20.00,12.00,20,1,rub alcohol
40.00,20.00,12.00,20,1,burger pizza
40.19,270.00,12.08,51,1,cheese donut
40.00,20.00,12.00,20,1,fry rice garlic chicken lomi
40.00,-80.00,11.92,20,0,rabbit meat
40.00,20.00,12.00,20,1,coriander seed
40.62,-80.00,11.92,20,0,taiyaki
40.25,-30.00,11.83,22,0,microsoft office
40.00,20.00,12.00,20,1,cookie cinnamon roll
40.00,20.00,12.00,20,1,cookie cocoa cram cheese
40.00,20.00,12.00,20,1,cookie brownie
40.00,20.00,12.00,20,1,spaghetti buffalo wing
40.23,20.00,12.00,88,1,instant noodle
40.00,20.00,12.00,20,1,that is coffee
40.24,-55.00,11.42,52,0,banana loaf
40.00,20.00,12.00,20,1,chocolate that is cream
40.00,20.00,12.00,20,1,crabmeat sesame kewpie
40.00,20.00,12.00,20,1,crab corn soup
40.00,20.00,12.00,20,1,pantie bracelet
40.00,20.00,12.00,20,1,potato chip that is cream
40.00,20.00,12.00,20,1,vegetable bean rice turmeric
40.23,-38.54,10.92,254,0,red velvet
40.13,-72.68,-308.50,24890,0,tuna
40.00,20.00,12.00,20,1,cupcake cake
40.00,20.00,12.00,20,1,smoke purifier
40.14,-24.44,11.75,51,0,garlic bread
40.00,-80.00,11.92,20,0,potato marble
40.00,20.00,12.00,20,1,carpet computer table
40.00,20.00,12.00,20,1,siomai chilli
40.00,20.00,12.00,20,1,lomi pancit guisado
40.00,20.00,12.00,20,1,logganisa dry pusit
40.00,20.00,12.00,20,1,logganisa
40.00,20.00,12.00,20,1,chocolate ribbon
40.00,20.00,12.00,20,1,powder milk
40.00,20.00,12.00,20,1,sneaker boot
40.00,20.00,12.00,20,1,compute device
40.00,20.00,12.00,20,1,ginger turmeric
40.26,-46.67,11.75,25,0,coconut shell
40.00,20.00,12.00,20,1,pork teriyaki chicken fillet
40.36,-80.00,12.33,22,0,lechon belly
40.00,20.00,12.00,20,1,butter garlic prawn
40.47,15.00,12.00,24,1,butter chicken
40.00,20.00,12.00,20,1,refrigerator washing machine
40.00,20.00,12.00,20,1,refrigerator pillow blanket
40.00,20.00,12.00,20,1,sunscreen lotion sunblock lotion
40.68,20.00,12.00,20,1,body serum
40.25,-30.00,11.83,28,0,buko juice
40.00,20.00,12.00,20,1,burger sundae
40.00,20.00,12.00,20,1,burger french fry
40.00,20.00,12.00,20,1,burger that is cream
40.00,20.00,12.00,20,1,burger bacon
40.59,20.00,12.00,48,1,burger patty
40.59,20.00,12.00,48,1,burger patty
40.00,20.00,12.00,20,1,burger chicken nugget
40.00,20.00,12.00,20,1,shawarma rice milkte
40.00,20.00,12.00,20,1,macaroni lasagna
40.00,20.00,12.00,20,1,spicy nugget chocolate shake
40.00,20.00,12.00,20,1,burger burritos
40.57,20.00,12.08,30,1,baked macaroni
40.00,20.00,12.00,20,1,macaroni spaghetti
40.16,-77.62,8.50,247,0,sour candy
40.39,58.82,19.67,1850,1,candle
40.00,20.00,12.00,20,1,carbonara coffee jelly cake
40.00,20.00,12.00,20,1,carbonara soy garlic wing
40.00,20.00,12.00,20,1,carbonara nachos
40.00,20.00,12.00,20,1,carbonara garlic bread
40.69,-80.00,11.67,32,0,radish cake
40.00,20.00,12.00,20,1,cake cheese cupcake
39.36,-80.00,11.67,28,0,calamansi extract
40.00,20.00,12.00,20,1,calamari chicken hotdog
40.14,-80.00,11.83,21,0,calamansi pie
40.00,20.00,12.00,20,1,barbeque pork
40.00,20.00,12.00,20,1,cajun chicken java rice
40.00,20.00,12.00,20,1,lava cake that is cream
40.00,20.00,12.00,20,1,laptop smartphone
40.64,15.00,12.00,20,1,laptop battery
40.00,20.00,12.00,20,1,laptop camera
40.00,20.00,12.00,20,1,taptop table
40.00,20.00,12.00,20,1,laptop table office chair
40.00,20.00,12.00,20,1,laptop table vape juice vape charger
39.81,-80.00,12.17,29,0,tupperware
40.00,20.00,12.00,20,1,lasagna grill chicken
40.00,20.00,12.00,20,1,lasagna face mask
40.00,20.00,12.00,20,1,lasagna butter biscuit
40.00,20.00,12.00,20,1,lasagna sushi
40.31,-80.00,12.00,20,0,christmas card
40.13,-80.00,11.83,39,0,clams
40.00,20.00,12.00,20,1,smoke salmon baguette
40.00,20.00,12.00,20,1,smoke salmon
40.00,20.00,12.00,20,1,salmon shrimp egg fry rice
40.00,15.00,12.00,23,1,chicken garlic
40.00,20.00,12.00,20,1,tuna pizza
40.48,-80.00,12.08,25,0,tuna sandwich
40.00,20.00,12.00,20,1,tuna tofu sisig chicken barbeque
40.00,20.00,12.00,20,1,lactation cookie
40.00,20.00,12.00,20,1,bicol express bagoong sayote
40.00,20.00,12.00,20,1,vegetable fruit
40.00,20.00,12.00,20,1,flesh light lube
40.72,-80.00,12.00,25,0,cheese and biscuit
40.45,20.00,12.00,80,1,blush on
40.00,20.00,12.00,20,1,cheese roll cheese
40.31,20.00,12.08,27,1,cheese toast
40.00,20.00,12.00,20,1,cheesecake milktea
40.31,-34.04,-98.58,65738,0,light
40.00,-80.00,12.00,21,0,cheesestick
40.37,20.00,11.83,24,1,cherry tomato
40.00,20.00,12.00,20,1,rosotto
40.00,20.00,12.00,20,1,chicken beer
40.00,20.00,12.00,20,1,chicken beef burger
40.00,20.00,12.00,20,1,cry chicken avocado
40.00,20.00,12.00,20,1,chicken milktea
40.00,20.00,12.00,20,1,chicken chilli
40.00,20.00,12.00,20,1,kimchi rice buffalo leg
40.00,20.00,12.00,20,1,smoke rib
40.00,20.00,12.00,20,1,cheesecake red velvet cake
40.00,20.00,12.00,20,1,charger phone pillow
40.33,-8.57,11.58,31,0,barbeque
40.38,-16.02,6.75,1838,0,chocolate
40.00,20.00,12.00,20,1,chilli garlic tocino
40.00,20.00,12.00,20,1,sweet chilli garlic prawn
40.00,20.00,12.00,20,1,chilli garlic oil
40.00,20.00,12.00,20,1,chocolate pancake
40.00,20.00,12.00,20,1,chocolate oreo milktea
40.17,-46.67,11.92,28,0,ube cake
40.21,-80.00,11.67,22,0,chocolate cookie
40.83,20.00,12.00,30,1,ube jam
40.00,-80.00,11.92,20,0,chocolate fudge
40.39,-46.67,12.08,47,0,ube cheese pandesal
39.51,-80.00,11.92,20,0,chocolate moron
40.33,-80.00,12.00,27,0,chocolate mocha
40.47,-40.71,10.00,235,0,cheese pandesal
40.00,-80.00,11.92,21,0,chocolate isaw
40.01,-80.00,11.92,21,0,ube cream cheese
40.61,-80.00,11.75,59,0,cream cheese pandesal
40.00,20.00,12.00,20,1,ube that is cream
40.11,20.00,12.00,20,1,chocolate ganache cake
40.27,-23.68,9.33,2157,0,chip
40.17,-7.27,11.67,63,0,cinnamon roll
40.66,-70.91,10.17,111,0,chocolate brownie
40.00,20.00,12.00,20,1,chocolate cake baked macaroni
40.40,70.00,12.58,53,1,chocolate chip cookie
40.87,-80.00,11.92,20,0,chocolate caramel cake
40.00,20.00,12.00,20,1,choco milkshake
40.00,20.00,12.00,20,1,choco almond that is cream
40.00,20.00,12.00,20,1,dark choco milktea
40.86,15.00,12.00,20,1,chocolate moist cake
40.25,-40.00,11.67,40,0,choco butternut
40.00,20.00,12.00,20,1,choclate puff pastry
40.00,20.00,12.00,20,1,chicken curry rice
40.00,20.00,12.00,20,1,chicken wing chicken nugget
40.29,320.00,12.42,50,1,beek
40.49,20.00,12.00,21,1,chicken liver
40.00,20.00,12.00,20,1,fry chicken ketchup
40.41,20.00,11.75,26,1,chicken noodle
40.41,70.00,11.83,24,1,chicken noodle soup
40.06,-80.00,11.92,22,0,chicken neck
40.00,20.00,12.00,20,1,chicken mushroom alfredo
40.00,15.00,12.00,20,1,chicken empanada
40.22,-23.67,-31.08,7339,0,chicken
40.00,20.00,12.00,20,1,chicken hotdog ball
39.55,-80.00,11.83,22,0,crispy chicken darod
40.49,-80.00,11.83,26,0,chicken karaage
40.00,20.00,12.00,20,1,chicken fry
40.00,20.00,12.00,20,1,creamy tuscan chicken
40.91,-80.00,11.92,20,0,chicken parmigiana
40.00,20.00,12.00,20,1,chicken pastel
40.00,20.00,12.00,20,1,chicken tofu sisig
40.00,20.00,12.00,20,1,chicken spaghetti
40.00,-80.00,11.92,22,0,spicy chicken thigh
40.00,20.00,12.00,20,1,chicken wing beef burger fryer
40.00,20.00,12.00,20,1,chicken waffle
40.00,20.00,12.00,20,1,fry chicken lumpiang shanghai
40.00,20.00,12.00,20,1,chicken sandwich coffee
40.46,-80.00,11.83,20,0,chicken roll
40.00,20.00,12.00,20,1,baked chicken roll pizza
40.00,20.00,12.00,20,1,chilli shrimp
40.00,20.00,12.00,20,1,chilli seed
39.68,20.00,12.08,21,1,chilli con carne
40.00,20.00,12.00,20,1,chilli garlic sauce
40.00,20.00,12.00,20,1,chilli garlic crunch
40.00,20.00,12.00,20,1,lego playdough
40.12,-80.00,11.75,34,0,roadbike
40.00,20.00,12.00,20,1,no limp noodle
40.12,70.00,11.83,24,1,shoebox
40.00,20.00,12.00,20,1,kaiju hot sauce
40.00,20.00,12.00,20,1,tumbler wine
40.62,120.00,12.00,28,1,stuff toy
40.00,20.00,12.00,20,1,television chair desk
40.60,-80.00,11.92,20,0,strawberry cheesecake
40.00,20.00,12.00,20,1,strawberry cigarette
40.34,15.00,12.08,56,1,strawberry milk
40.09,15.00,12.00,22,1,strawberry shake
40.00,20.00,12.00,20,1,green tea dark chocolate
40.00,20.00,12.00,20,1,tea coffee
40.00,20.00,12.00,20,1,chicken wing pasta
40.41,20.00,12.33,25,1,garlic butter shrimp
40.37,-14.48,12.17,214,0,espresso
40.33,-80.00,11.00,125,0,espresso machine
39.87,15.00,12.00,22,1,gaming headset
40.00,20.00,12.00,20,1,game laptop
40.00,20.00,12.00,20,1,pencil eyeliner
40.34,-80.00,11.75,48,0,bike rack
40.00,20.00,12.00,20,1,earphone health watch
40.00,20.00,12.00,20,1,necklace phone bike
40.00,20.00,12.00,20,1,wireless ear bud charge case
40.00,20.00,12.00,20,1,dumpling sausage pasta
40.00,20.00,12.00,20,1,banana bread loaf
40.70,-80.00,11.92,20,0,caramel leche flan
40.32,-80.00,11.92,20,0,spicy tuna pasta
40.22,-13.33,11.75,57,0,creamy spinach
40.83,-80.00,11.92,25,0,steamed cake
40.27,-5.00,11.83,112,0,green tea
40.00,20.00,12.00,20,1,strawberry yogurt frappe
40.00,20.00,12.00,20,1,eggnog cookie that is coffee
40.00,20.00,12.00,20,1,egg benedict
40.00,20.00,12.00,20,1,face shield sun screen
40.24,322.86,13.83,865,1,pencil
40.00,20.00,12.00,20,1,glass backpack
40.12,20.00,12.17,33,1,soft drink
40.00,20.00,12.00,20,1,squid cheese
40.92,15.00,12.00,27,1,ear pod
40.00,20.00,12.00,20,1,egg hotdog sandwich
40.00,20.00,12.00,20,1,paint acrylic canvas
40.30,20.00,12.08,20,1,egg drop soup
40.00,20.00,12.00,20,1,egg chicken wing
40.00,20.00,12.00,20,1,salt egg chicken wing milk tea
40.00,20.00,12.00,20,1,egg potato marble
40.00,20.00,12.00,20,1,chicken nugget soft drink
40.26,120.00,11.92,23,1,glow stick
40.00,-80.00,11.92,20,0,vegan taco
40.00,20.00,12.00,20,1,cinnamon roll cream cheese
40.00,20.00,12.00,20,1,e cigarette
40.00,20.00,12.00,20,1,instant raman
40.31,-47.53,3.50,919,0,melon
40.00,20.00,12.00,20,1,seafood butter garlic shrimp
40.42,-80.00,11.92,21,0,tabo rice
40.35,52.43,11.50,1672,1,costume
40.32,15.00,12.42,27,1,japanese food
40.47,-60.00,11.67,25,0,frozen food
40.00,20.00,12.00,20,1,samgyupsal kimchi rice egg cream cheese
40.00,20.00,12.00,20,1,flower cake
40.00,20.00,12.00,20,1,fry rice longganisa tocino beef tapa
40.00,20.00,12.00,20,1,pad thai that is tea
40.20,20.00,11.42,113,1,sundae
40.25,220.00,12.08,22,1,coleslaw
40.00,20.00,12.00,20,1,vietnamese food
40.00,-80.00,11.67,30,0,adobong pusit
40.00,20.00,12.00,20,1,lemon chicken broccoli pasta
40.64,-49.23,11.33,78,0,skin care product
40.00,20.00,12.00,20,1,chocolate milk shake
40.00,20.00,12.00,20,1,sweet and sour chicken
40.00,20.00,12.00,20,1,beef steak pork steak
40.00,20.00,12.00,20,1,sweater jacket
40.00,20.00,12.00,20,1,blueberry strawberry
40.25,15.73,-1650.42,4935262,0,
40.00,20.00,12.00,20,1,protection cream
40.46,-13.33,12.42,81,0,chocolate chip
40.00,20.00,12.00,20,1,sushi pizza
40.00,20.00,12.00,20,1,sushi sisig samgyupsal
40.00,20.00,12.00,20,1,sushi california maki
40.00,20.00,12.00,20,1,baked sushi tuna sushi
40.00,20.00,12.00,20,1,sushi tuna sashimi
40.00,20.00,12.00,20,1,palabok yema
40.35,-42.16,13.17,1607,0,towel
40.00,20.00,12.00,20,1,sunscreen sunglass face shield
40.00,20.00,12.00,20,1,tuyo olive oil
40.54,20.00,11.92,23,1,football shirt
40.00,20.00,12.00,20,1,strawberry blueberry coffee nutella
40.00,20.00,12.00,20,1,sweet corn milk
40.27,-37.14,11.75,45,0,chicken skin
40.00,20.00,12.00,20,1,fench roast milk
40.64,-80.00,11.92,22,0,garlic shrimp
40.36,-80.00,11.92,20,0,choco drink
40.00,20.00,12.00,20,1,blueberry oreo cheesecake
40.52,-80.00,11.92,21,0,boneless bangus
39.47,-80.00,11.83,23,0,eye lubricant
40.00,20.00,12.00,20,1,bagel carrot
40.00,20.00,12.00,20,1,lemonade coffee
40.00,20.00,12.00,20,1,carbonated drink alcohol
40.15,-71.67,11.42,40,0,wheelchair
40.00,20.00,12.00,20,1,french fry bubble tea
40.00,20.00,12.00,20,1,french fry pizza sushi
40.00,20.00,12.00,20,1,orange mashed potato
40.00,20.00,12.00,20,1,fruit salad macaroni salad
40.93,-80.00,11.92,20,0,smoothie shake
40.93,-80.00,11.75,27,0,fruit soda
40.00,20.00,12.00,20,1,fruit tart
40.45,-40.00,11.58,121,0,fruit cocktail
40.29,-30.00,11.83,20,0,fruit shake
40.00,20.00,12.00,20,1,fruitshake
40.00,20.00,12.00,20,1,wing sauce
40.00,20.00,12.00,20,1,sugar apple
40.32,-80.00,11.75,23,0,sugar glider
40.00,20.00,12.00,20,1,sugar free pancake
40.00,20.00,12.00,20,1,freezer korean food
40.00,20.00,12.00,20,1,facemask alcohol faceshield
40.05,-80.00,11.92,20,0,sudoku
40.60,20.00,12.00,21,1,chicken barbeque
40.00,20.00,12.00,20,1,takoyaki carbonated drink
40.29,-10.00,18.17,4205,0,suit
40.19,520.00,11.92,50,1,sukiyaki
40.10,149.17,15.00,725,1,sword
40.23,-22.86,11.83,55,0,refrigerator
40.00,20.00,12.00,20,1,facemask faceshield alcohol
40.00,20.00,12.00,20,1,facemask eyeglass
40.00,20.00,12.00,20,1,tapa rice
40.32,-30.00,11.50,39,0,eyeshadow
40.29,0.30,105.33,9405,0,clothe
40.00,20.00,12.00,20,1,shirmp mackerel
40.53,-63.33,11.50,52,0,plant rack
40.00,20.00,12.00,20,1,faceshield facemask
40.73,20.00,12.00,21,1,face powder
40.34,-30.00,11.08,46,0,moisturizer
40.00,20.00,12.00,20,1,faceshield facemask hand sanitizer
40.00,20.00,12.00,20,1,pizza milktea
40.00,20.00,12.00,20,1,organic product
40.00,20.00,12.00,20,1,sisig pork
40.00,20.00,12.00,20,1,sisig pandesal
40.00,20.00,12.00,20,1,sisig siomai noodle burger siopao
40.00,20.00,12.00,20,1,sisig isaw yakult
40.00,20.00,12.00,20,1,pizza chicken wing
40.30,20.00,12.92,386,1,hair color
40.00,20.00,12.00,20,1,that is tea
40.00,20.00,12.00,20,1,brownie cake
40.00,20.00,12.00,20,1,boneless fry chicken
40.00,20.00,12.00,20,1,cake chocolate
40.25,70.00,12.00,26,1,siomai rice
40.00,20.00,12.00,20,1,siomai lasagna fried chicken mac and cheese cake donut tempura calamari spaghetti meatball cheeseburger pizza
40.25,-80.00,11.75,24,0,tuna pasta
40.00,20.00,12.00,20,1,mustard chicken
40.00,20.00,12.00,20,1,coffee beer
40.37,-28.15,12.08,15827,0,muffin
40.22,-65.71,11.42,37,0,laptop charger
40.00,20.00,12.00,20,1,pacit canton
40.00,20.00,12.00,20,1,kamote stick
40.00,20.00,12.00,20,1,facemask faceshield
40.20,-51.43,11.50,34,0,california maki
40.00,20.00,12.00,20,1,sun screen cream
40.00,20.00,12.00,20,1,sunscreen cream
39.58,-80.00,11.92,20,0,makeup bag
40.00,20.00,12.00,20,1,sunblock cream
40.00,20.00,12.00,20,1,glutathione collagen vitamin
40.80,20.00,12.00,21,1,beauty lotion
40.31,-20.00,13.25,369,0,freezer
40.22,56.33,123.00,9020,1,pant
39.53,120.00,12.25,23,1,virgin coconut oil
40.00,20.00,12.00,20,1,hoodie pajama
40.12,-32.38,10.67,957,0,motorcycle
40.24,-39.88,4.50,1576,0,plastic
40.14,-32.86,8.17,1106,0,pancit canton
40.00,20.00,12.00,20,1,alcohol wipe
40.00,20.00,12.00,20,1,chicken teriyaki burger
40.00,20.00,12.00,20,1,skin cream
40.91,20.00,12.00,20,1,skin toner
40.45,20.00,12.00,21,1,thrift clothe
40.67,-80.00,11.92,20,0,silicon mask
40.06,20.00,14.17,1427,1,clock
40.00,20.00,12.00,20,1,rice chicken spaghetti soda
40.23,-49.70,9.75,130,0,chocolate cake
40.37,-7.78,10.08,557,0,brownie
40.00,20.00,12.00,20,1,speaker headset
40.66,20.00,12.00,22,1,feminine wash
40.06,-80.00,12.00,20,0,guava
40.29,-63.33,11.33,207,0,accessory
40.04,245.42,326.08,28233,1,cookie
40.17,0.95,12.00,675,0,drone
40.28,20.00,12.00,20,1,seedle
40.29,-26.94,10.25,212,0,carrot
40.00,20.00,12.00,20,1,cake cupcake
40.00,20.00,12.00,20,1,lemon pie
40.00,20.00,12.00,20,1,doll robot
40.00,20.00,12.00,20,1,bread refrigerator
40.52,-55.00,11.67,35,0,color pencil
40.30,42.68,11.92,4290,1,gold
40.00,20.00,12.00,20,1,spaghetti shanghai
40.36,36.67,11.50,40,1,chocolate drink
40.00,20.00,12.00,20,1,spaghetti bread
40.00,20.00,12.00,20,1,spaghetti tuna pie
