product_idea,potential_market,trend_of_demand,market_acceptance,stability_of_demand,label
appliance store,20,12.08,40.42,20,1
appliance store,99,12.08,40.12,353.33,1
appliance store,97,12.08,40.2,520,1
appliance store,20,12,40,20,1
appliance store,149,12,39.91,15,1
appliance store,20,12,40,20,1
appliance store,194,15.08,40.2,53.33,1
appliance store,20,12,40,20,1
appliance store,175,11.75,40.04,103.33,1
appliance store,20,12.08,40.86,20,1
appliance store,292,11.42,40.17,1.48,0
art accessories shop,236,10.42,40.15,-22.11,0
art accessories shop,10641,9.83,40.23,-59.41,0
art accessories shop,495,8.17,40.35,-37.89,0
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,20,12.08,40.88,20,1
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,22,11.67,39.99,-80,0
art accessories shop,161,11.92,40.39,-1.74,0
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,101,12.67,40.1,15,1
art accessories shop,20,12,40,20,1
art accessories shop,20,12,40,20,1
art accessories shop,322,12.42,40.09,286.67,1
art accessories shop,27,12,40.67,20,1
art accessories shop,159,10.5,40.43,-55,0
art accessories shop,20,12,40,20,1
art accessories shop,25,12,40.37,15,1
art accessories shop,150,11.75,40.12,345,1
art accessories shop,45,13,40.14,-80,0
art accessories shop,171,15.08,40.23,5.71,0
art accessories shop,49,12.33,40.72,15,1
art accessories shop,20,12,40,20,1
art accessories shop,2958,7.25,40.3,11.8,0
art accessories shop,20,12,40,20,1
art accessories shop,4065,8.58,40.44,36.35,1
art accessories shop,20,12,40,20,1
art accessories shop,571,11.83,40.3,77.89,1
art accessories shop,20,12,40,20,1
art accessories shop,21182,-74.17,40.43,-3.24,0
art accessories shop,20,12,40,20,1
art accessories shop,20,12.08,40,20,1
art accessories shop,22,11.92,40.25,-80,0
art accessories shop,364,10.17,40.04,-68.57,0
art accessories shop,26,12,40.42,20,1
art accessories shop,341,12,40.43,39.23,1
art accessories shop,36,12,40.88,15,1
art accessories shop,524038,303.92,40.31,38.9,1
art accessories shop,20,12,40,20,1
art accessories shop,167,12.25,40.28,93.33,1
art accessories shop,26,12,40.18,-80,0
art accessories shop,20,12,40,20,1
art accessories shop,1796,7.83,40.32,11.55,0
baking supply store,1463,7.5,40.3,3.71,0
baking supply store,110,11.08,40.42,-53.33,0
baking supply store,20,11.92,40.4,-80,0
baking supply store,23,11.92,40.71,70,1
baking supply store,20,12,40,20,1
baking supply store,20,12,40,20,1
baking supply store,35,12,40.89,20,1
baking supply store,45,12.17,40.3,186.67,1
balley lesson business,22,12,40.5,20,1
bar business,45,12.58,40.57,15,1
bar business,20,12,40,20,1
bar business,20,12,40.42,20,1
bar business,12111,-22.83,40.27,-13.08,0
bar business,3397,6.58,40.4,39.32,1
bar business,20,12,40,20,1
bar business,103,12,40.2,670,1
barbeque stand,20,12,40,20,1
barbeque stand/inihaw business,21,11.92,40,-80,0
barbeque stand/inihaw business,20,12,40,20,1
barbeque stand/inihaw business,31,11.58,40.33,-8.57,0
barbeque stand/inihaw business,24,11.83,40.45,-30,0
barbeque stand/inihaw business,21,12,40.6,20,1
barbeque stand/inihaw business,20,12,40,20,1
barbeque stand/inihaw business,73,12.08,40.28,10,0
beauty products reselling business,58,11.58,40.68,-17.5,0
beauty products reselling business,21,12,40.73,20,1
beauty products reselling business,20,12.08,40.48,20,1
beauty products reselling business,46,11.08,40.34,-30,0
beauty products reselling business,20,12,40,20,1
beauty products reselling business,533,13.67,40.29,100.56,1
